user_id,recency,frequency,avg_monetary_value,vintage_in_days,predicted_churn_probability_LR,predicted_churn_probability_SVM
02745dfc64aa71904b9155841a39bc47aa6241d60ac4b78ee542f9ec0fea6c80,21,4,271,111,8%,10%
0281458a4279a4228baba3ef30d4787a5925da086ec0ec9349b27e55abaa5e1c,20,23,250,106,82%,87%
028621d19f4ecf2bee0a3a09be37e6fe95a635b1e7cda8d022e4adaed1388b43,19,5,323,60,29%,22%
029093d47e9c40b6792f3bbaa420601743aeea8471f727a8ccdf7623d45b2460,65,3,203,42,57%,26%
02910ead90eb4fcf86f1538edb98da694f5ca12de257d24037cf8c0c24935d32,94,2,1718,29,81%,67%
0293de93061bec3a3e10f7e692e7031ab4605623b8d0667355f6e0bff14f4712,61,2,348,3,73%,99%
0295e8e0f387450e12c9447f930ef668b6cc5c575c754cf473174b91303f0726,96,2,197,1,87%,100%
02975289ad916b1c85799551e0bf927f1536c13aa5b5c09a515238ae433cfeab,19,8,515,52,48%,58%
029f6ab9c8e3878d09a9121178e1a23378351f879031e3b0dd1cc00a5b46234c,47,4,682,16,69%,88%
02a3ad4b807b4b3257fbbc619947b7ce05f3528367857ec0a0645fd490ba21cb,39,5,152,81,27%,23%
02a41a9723181caf145d2427860a6b026370a5f56564bb163be8969a36c559f1,73,3,78,8,79%,99%
02a775f12c3779d1b194ed16e00cd1ef92860690a594f736a280dedbe15927cb,21,33,423,117,96%,91%
02a7a74c91ce2ec2b8add84617d8d78078908f7ad7ca862a137da1d95e55bb0e,41,29,389,96,97%,100%
02a7bd9f33e40510a92c5a1b6f16a893d888327f89e2e50d970496ef93860cb4,33,4,494,66,29%,17%
02a917f3b09cb6f82733f23cdc172069e0f6291a94ed7a270b5b8e3568ccd8cb,19,27,325,115,88%,86%
02aa37d29c51d3e4ab9a5c2955f670a60c2604123938deccf69defa77e31000d,53,2,205,68,29%,8%
02b27a9afaf1beeaba7b4a3867b745aee5b45bc202b9d9b7e7055e98ea27a38d,21,13,842,101,45%,43%
02b60b43133342f3a908fc6fa239870e35cd787c1fc7f7d9bf91c1302c70a860,84,3,255,36,71%,64%
02ba43711f4fd5d6e41d6d53e63c40503c3d487e0e525ced81edebad491632fb,106,4,318,18,89%,100%
02bb59a576c164c380b0d9395cf290a3d12df95f3e799804f921a179e7434619,30,5,279,41,46%,31%
02bba2d13deabf41de1d7dc2eec93f59cc6e19adb150c0f10be9b6fbfc0e0d01,22,7,1419,112,18%,19%
02bba3a949d74c526ee459abdb9d08aff670eb057f1aad7f8ead0eab23377b6b,77,3,456,48,61%,35%
02c0b9b083cd3837868e5aca7f6691f8fd9c22477da7c8d489cb02deb4eb0ea6,97,3,268,36,77%,81%
02c2b5e6938ce60f07af32cc0789eb591fca2294623fe2eb48743ba36addd940,18,37,302,114,98%,92%
02c423624c98cc8fb35784ca2155c3d2311270fa2abc78e8fcd0e3f4cef74cf1,33,5,430,22,61%,70%
02cb4d703d5d8837cd9a731e6a2296b633c227b5373bc98c159930ea06e4c575,37,4,505,57,37%,19%
02cbe14d6db461c243a4e8e8d844b940d05fb7e98797f571029191ef70f5e8df,30,39,434,106,99%,99%
02d4442535542822bf4f511096f933b4f6473aacef1f249f59357ed1047f5b66,31,9,374,107,26%,30%
02d5e6ab220a7fe7880be792694608c39688c5a5ea7e1849a2d377e7676080d7,61,2,306,1,74%,99%
02d76f23f37e8a4baf8f74a338b5fa78fd4e2c2479f33133b8a18cbbbbc1b8e5,19,7,675,49,46%,46%
02de1c46786237e8f016fd2762b4b24b08fbc7d79dbcbbc03197102044619d71,18,46,318,117,100%,92%
02e1da528a53aeba1ad8a7ca512be7c071025473fd637b8680ddb4f05d086785,20,5,264,74,22%,19%
02e29d0d52ba2e4ec373c17a6a4304d18125b3231025374c34d7c0d383f05782,34,3,285,39,40%,12%
02e450781947abf955c8899e2780818ca904761ebfda814d9bd39e9271bf6fb4,62,3,378,66,40%,20%
02e6bf1ecc495b0f676e060bdb0ba0450a4f98ebce4e8a941a1edc7e659ae197,33,46,969,99,100%,99%
02edb70e27e2d16899f78b99d264fa144a114bd7cadaa9324b3f6372bc56eb70,23,2,324,7,49%,73%
02f0ad9e38e2a28f361226585afb7c142eff41bbb7ae86597319e11a790fec3b,22,17,247,112,55%,67%
02f1c3a24417262a47b1a90b666b3dbc2a96fef4d071e3f63524d29a2d906850,38,8,376,75,44%,62%
02fddeebabe099a2f26697ac104a2a89adb28005143d8fc4787a0d8bf29164d7,21,16,430,114,49%,57%
02fe486553d44eeb4a527a2b8f06d9d2459ef4543d4c75786df5aa408c7f5c16,44,13,344,79,69%,96%
0304ba56ba0f6304412aaf25131d758c4d34086756244c260919bc875be6e8ba,111,2,236,24,84%,97%
03075828c8e89d44151351179925d974a013f7e32549a73bf3aed8b02d5916cc,20,5,133,110,10%,14%
03092b911f8592589fc1a7beeb355d74f394d8e115df59192ebaef5ca5abc982,30,2,276,5,54%,86%
030b492d9126f3ab98fe0aa277afbd0b13889089c0c82f05b402ec606ef9518f,59,3,264,66,38%,17%
030cd03db8905c76067b821eebaa5a956d4ae35142fb31eee370fa3e83b9b717,119,2,1050,12,92%,99%
030ee9b650ea5aa74df4a92254eeeb8b57a18313647451536291ccff3c6b6100,77,2,420,21,72%,85%
03119cf816dec372933aef7cfffb25779ae28c353f17993d9032316a228aa42f,130,2,659,8,93%,100%
0312f6afec0cb885336277321e5f877c4692b2759c633173fa9e32dbf920efce,27,16,360,108,56%,68%
03164fc888eeb036faeee2bdc372e01f01806e4f8a815a4659e3b03e6bf033d0,18,22,849,117,75%,71%
0327a3f28cf934e45837cf1e99ce36f4e4cd4260041dca7f054dc67b3e1e1a2e,51,2,200,49,39%,7%
03297473d0eaf3df06273f1a3f1f8cd160dc4b0d8489381505dd675c61d8b7ca,35,5,714,66,36%,27%
032a21b3885c752454d43b7698d2a9e24cae154de839b3385342fab9890a2392,49,3,368,88,22%,12%
032edceb9392ec2bd01629600dd7b7a9935480d36aa7948b547bfba031fe344d,35,5,567,63,37%,28%
033147846cdfd695e560a34b7bfb8790a9848daa0e56921d53553cfea51348e1,21,5,175,85,18%,17%
0331f47c84fd5d1613a1d9b2a0040de688dfb45d4997068eadc81eded8dd1825,23,14,247,111,41%,54%
033243adbbf51f0adf2c0460e84e34e02c2204d9229ec62d9c942dff0cb02e13,63,3,377,28,65%,57%
033825c07e4f8e92b04d7c2091b0254071c1b0c0a26167dbd91bc1df2f0b5d38,46,3,164,80,23%,12%
033d2048a2933be005651df6abafc083681f7f8bc6d606d3ec017e5af4c3470c,52,2,330,39,46%,11%
034e0da4b02ee2a89116fe8467f4ef8cf96d46c64505a0c58926af1965d2af18,21,19,488,116,62%,68%
03521cdbab343307afe1596ded255d51e9af0613672f595b0e08a18025282483,59,6,516,34,73%,85%
03551f88d2ff06cf9bcb72da8b9d3b3612d3884e365de4cb864a79334b302192,25,10,723,69,52%,71%
035a7adbcb87c52c10ccdb2a0e60a3ecdbf1b56ad99ee2258bf15cc97bcefa7e,36,2,214,29,42%,12%
0363ec3eb230ae3988bb8c51ee91c54dec0481c3eaa8a5e7c5c2d33afa272ce6,71,8,417,65,70%,91%
036eca1a20a7575b9085e977ea061c6083a3520b99b36f1e275199e070226472,69,2,550,5,77%,99%
03720ea11e3fe200708ac1f3cfe57ec40c9cb53ee5a09882cff9b75942cd7d94,52,7,283,70,51%,67%
03737bf6e41d2aa66319915a592faee7fd182bc88498e6b44234efa72c6bf79a,37,4,218,38,47%,24%
037539cc5c2e36e0d0256303b951463457a0a28e322856c5f9454acbc5787817,21,4,310,115,8%,11%
037b6c47493c279a077ad6b190afb0ee503ff746d15ef1ec48897645c863da02,54,10,369,74,64%,92%
037d07a6a8950d4c3cd9a90e00ac0a1cb885f5c86a8655f31560af7199cbd56f,19,20,651,117,66%,67%
038804c3cc6ff43045819d291f83540c5888f57e211fa6935043fb78588f392a,19,30,607,117,93%,87%
038f89e6d20c7ecd90e1c2af2f22a0379d2882388c62115e75132077369b112a,38,2,284,48,32%,6%
0392b9537d4dec132c80af7efcc2fe7054744287aa8d43428e8c08858436a8ba,37,9,283,79,46%,67%
039e5946027996714a9934198c23c584757ae5302be80eb9018382015b46d4dc,28,8,458,34,65%,81%
03a3400630c2b978fc3e2137cd39fc338cf3ec632cc34fd6a749acabeda4d1f0,20,6,424,44,44%,37%
03a40e1603a049f529231a184ad3c113efa0229ed681f6e6458f494123215573,48,6,132,67,44%,49%
03a959bd679f3546f683c3d97495639118605c3743ba2be847e0c2295c344e0f,50,3,163,63,34%,13%
03aa480a11652e3d0269c9f8f54b3eca3d37313850cb2d8f9148515df3642081,83,3,230,51,62%,37%
03adbeacfee3f24d8c8631466feb3b1674c97f75a6b4e5a446b615f151392faf,18,48,525,115,100%,92%
03b06859279fa50f51d962d67578ec5b483cfe3fdddebabcbaec2c44385faa91,111,2,210,24,84%,97%
03bb5fd9c9fe50259455e4519a30e451c59b3e54ce896c1bbd3b7ff7fb5eb1dc,42,13,473,53,81%,99%
